Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Current_Age,Price_Per_KM
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,13.0,1199.0,88.0,5.0,8.0,4.5,13,0.00017391304347826088
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.0,2755.0,171.0,8.0,21.0,17.5,8,0.0005833333333333334
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.0,1462.0,103.0,5.0,10.0,9.95,6,0.0003892262182780632
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.0,2477.0,175.0,7.0,32.0,15.0,10,0.0002909090909090909
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,47.0,18.55,10,0.001425019707719362
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.0,1199.0,88.0,5.0,10.0,9.9,6,0.0002671653753673524
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.0,1598.0,103.0,5.0,12.0,6.98,10,0.000216485360177518
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.0,1248.0,88.0,5.0,11.0,8.63,6,0.00021967049425861208
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.0,1999.0,149.0,5.0,23.0,8.85,10,0.0004959675680338121
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.0,2694.0,163.0,7.0,18.0,10.95,12,0.0002545824847250509
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.0,2393.0,147.0,8.0,19.0,16.5,7,0.0008636363636363636
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,49.0,35.67,5,0.0031882360596004944
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.0,1396.0,88.0,5.0,11.0,10.5,6,0.0008461538461538462
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.0,1461.0,108.0,5.0,16.0,6.92,9,0.0002853779474191132
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.0,1193.0,88.0,5.0,6.0,4.5,7,8.571428571428571e-05
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.0,1198.0,67.0,7.0,6.0,3.95,7,0.00018264284192262033
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.0,1197.0,78.0,5.0,6.0,3.9,10,0.00011320754716981132
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,27.0,19.25,7,0.0009
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.0,1196.0,73.0,5.0,5.0,3.91,7,0.00013139568496570574
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,54.0,20.75,9,0.0009627899513256191
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.0,1198.0,75.0,5.0,9.0,6.55,8,0.00022566571385587483
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.0,1248.0,88.0,5.0,9.0,7.5,8,0.00016363636363636363
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.0,5.0,14.0,10.95,6,0.0013658536585365853
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.0,998.0,67.0,5.0,4.0,2.6,10,4.519774011299435e-05
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.0,2.0,95.0,54.0,7,0.007104397247980856
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.0,5.0,13.0,11.5,5,0.0010280743376828785
148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.0,2894.0,444.0,4.0,1.0,37.0,11,4.347826086956522e-05
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.0,1995.0,190.0,5.0,60.0,26.5,10,0.00125
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.0,1197.0,81.0,5.0,7.0,6.5,5,0.007
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,69.0,33.5,10,0.0013529411764705882
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.0,1197.0,83.0,5.0,8.0,7.5,7,0.0003229322245993622
193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.0,1248.0,88.0,7.0,12.0,8.5,8,0.0003636363636363636
200,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.0,1493.0,100.0,7.0,10.0,6.5,7,0.0003448275862068965
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.0,1248.0,88.0,5.0,11.0,9.0,8,0.00055
210,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.0,1498.0,98.0,5.0,8.0,3.25,11,0.00017777777777777779
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,14.0,1798.0,177.0,5.0,33.0,26.0,7,0.0012692307692307692
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.0,1461.0,65.0,5.0,9.0,3.7,11,8.411214953271028e-05
225,Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.0,998.0,67.0,5.0,5.0,2.65,11,0.00015625
228,Mini Cooper Convertible S,Kochi,2017,26327,Petrol,Automatic,First,16.0,1998.0,189.0,4.0,44.0,35.67,7,0.0016712880312986667
235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,20.0,19.64,5,0.0014119308153900459
237,Honda City i-VTEC V,Kolkata,2011,32572,Petrol,Manual,First,17.0,1497.0,117.0,5.0,11.0,3.87,13,0.0003377133734495886
256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,Diesel,Manual,First,13.0,2393.0,147.0,7.0,25.0,18.65,7,0.0005813953488372093
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.0,5.0,14.0,2.6,16,9.771418600593264e-05
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,Diesel,Automatic,First,11.0,2987.0,254.0,5.0,95.0,61.29,7,0.00318588819209229
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,Diesel,Manual,First,22.0,1248.0,74.0,5.0,8.0,3.75,7,6.562756357670222e-05
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,8.0,5.25,6,0.00017777777777777779
